origin_iso3,origin_country,region,origin_lat,origin_lon,destination_city,destination_lat,destination_lon,flow_type,modelled_potential_index,stroke_width,SAI_MGIMO_V3_SCORE,rank_practical_student_recruitment,student_recruitment_status,due_diligence_warnings,source,year
GUY,Guyana,Latin America & Caribbean,5.124317,-58.942643,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,46.95060727887479,1.7533392710535578,54.562381162624796,95,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
VUT,Vanuatu,East Asia & Pacific,-15.37153,166.908762,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,43.09650437150744,1.662767852730425,54.064260907203895,96,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
PRY,Paraguay,Latin America & Caribbean,-21.674509,-60.146394,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,54.61489278702476,1.933449980495082,54.050630659535514,97,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
BWA,Botswana,Sub-Saharan Africa,-22.102634,24.179216,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,51.07565256510844,1.8502778352800484,53.74219040629128,98,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
BLR,Belarus,Europe & Central Asia,53.821888,28.417701,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,53.339228341564734,1.9034718660267713,53.558463191824714,99,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
MNG,Mongolia,East Asia & Pacific,45.997488,104.150405,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,50.833446497512234,1.8445859926915378,53.45287214236417,100,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
NAM,Namibia,Sub-Saharan Africa,-20.575298,17.108166,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,51.06809866240152,1.8501003185664358,53.181446107025565,101,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
CRI,Costa Rica,Latin America & Caribbean,10.0651,-84.077922,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,52.11189636932002,1.8746295646790205,53.00423103465268,102,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
LBN,Lebanon,Middle East & North Africa,34.133368,35.992892,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,53.168709791373324,1.8994646800972732,52.86851285776788,103,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
NIC,Nicaragua,Latin America & Caribbean,12.670697,-85.069347,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,54.08800698919127,1.921068164245995,52.85908820515169,104,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
STP,São Tomé and Principe,Sub-Saharan Africa,0.9709,7.021,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,41.558735555886564,1.6266302855633343,52.735009919840714,105,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
